user_id,trip_date,started_at,ended_at,origin_type,origin_city,destination_type,destination_city,trip_purpose,transport_mode,distance_m,duration_min,transfer_count,estimated_cost_eur,estimated_co2_g,data_source,generation_batch_id,generation_model,generation_prompt_version,metadata
550e8400-e29b-41d4-a716-446655440000,2026-06-01,2026-06-01T08:00:00+02:00,2026-06-01T08:35:00+02:00,home,Berlin,work,Berlin,commute,public_transport,8500,35,1,2.9,300,synthetic_openai,e5327ee6-9305-4623-bd62-39666d3ad6d3,dein-model-name,mobility_trips_v1,"{""trip_group_id"": null, ""notes"": ""Morning commute by S‑Bahn with one transfer, typical weekday."", ""synthetic_generator"": ""openai""}"
550e8400-e29b-41d4-a716-446655440000,2026-06-01,2026-06-01T17:30:00+02:00,2026-06-01T18:05:00+02:00,work,Berlin,home,Berlin,return_home,public_transport,8500,35,1,2.9,300,synthetic_openai,e5327ee6-9305-4623-bd62-39666d3ad6d3,dein-model-name,mobility_trips_v1,"{""trip_group_id"": null, ""notes"": ""Evening return by the same S‑Bahn line."", ""synthetic_generator"": ""openai""}"
550e8400-e29b-41d4-a716-446655440000,2026-06-02,2026-06-02T08:10:00+02:00,2026-06-02T08:30:00+02:00,home,Berlin,work,Berlin,commute,bike,5000,20,0,0.0,0,synthetic_openai,e5327ee6-9305-4623-bd62-39666d3ad6d3,dein-model-name,mobility_trips_v1,"{""trip_group_id"": null, ""notes"": ""Cycling to the office, preferred mode on a clear morning."", ""synthetic_generator"": ""openai""}"
550e8400-e29b-41d4-a716-446655440000,2026-06-02,2026-06-02T17:20:00+02:00,2026-06-02T17:40:00+02:00,work,Berlin,home,Berlin,return_home,bike,5000,20,0,0.0,0,synthetic_openai,e5327ee6-9305-4623-bd62-39666d3ad6d3,dein-model-name,mobility_trips_v1,"{""trip_group_id"": null, ""notes"": ""Bike ride back after a regular workday."", ""synthetic_generator"": ""openai""}"
550e8400-e29b-41d4-a716-446655440000,2026-06-04,2026-06-04T08:05:00+02:00,2026-06-04T08:40:00+02:00,home,Berlin,work,Berlin,commute,public_transport,8500,35,1,2.9,300,synthetic_openai,e5327ee6-9305-4623-bd62-39666d3ad6d3,dein-model-name,mobility_trips_v1,"{""trip_group_id"": null, ""notes"": ""Thursday commute, same route as Monday."", ""synthetic_generator"": ""openai""}"
550e8400-e29b-41d4-a716-446655440000,2026-06-04,2026-06-04T17:45:00+02:00,2026-06-04T18:20:00+02:00,work,Berlin,home,Berlin,return_home,public_transport,8500,35,1,2.9,300,synthetic_openai,e5327ee6-9305-4623-bd62-39666d3ad6d3,dein-model-name,mobility_trips_v1,"{""trip_group_id"": null, ""notes"": ""Evening S‑Bahn ride back home."", ""synthetic_generator"": ""openai""}"
550e8400-e29b-41d4-a716-446655440000,2026-06-06,2026-06-06T10:00:00+02:00,2026-06-06T10:10:00+02:00,home,Berlin,shopping,Berlin,shopping,bike,2000,10,0,0.0,0,synthetic_openai,e5327ee6-9305-4623-bd62-39666d3ad6d3,dein-model-name,mobility_trips_v1,"{""trip_group_id"": null, ""notes"": ""Bike ride to a local grocery store on Saturday morning."", ""synthetic_generator"": ""openai""}"
550e8400-e29b-41d4-a716-446655440000,2026-06-06,2026-06-06T10:30:00+02:00,2026-06-06T10:40:00+02:00,shopping,Berlin,home,Berlin,return_home,bike,2000,10,0,0.0,0,synthetic_openai,e5327ee6-9305-4623-bd62-39666d3ad6d3,dein-model-name,mobility_trips_v1,"{""trip_group_id"": null, ""notes"": ""Return bike ride after grocery shopping."", ""synthetic_generator"": ""openai""}"
550e8400-e29b-41d4-a716-446655440000,2026-06-07,2026-06-07T11:00:00+02:00,2026-06-07T11:25:00+02:00,home,Berlin,leisure,Berlin,leisure,public_transport,7000,25,1,2.9,300,synthetic_openai,e5327ee6-9305-4623-bd62-39666d3ad6d3,dein-model-name,mobility_trips_v1,"{""trip_group_id"": null, ""notes"": ""Visit to a museum in central Berlin, using tram and walking."", ""synthetic_generator"": ""openai""}"
550e8400-e29b-41d4-a716-446655440000,2026-06-07,2026-06-07T14:00:00+02:00,2026-06-07T14:25:00+02:00,leisure,Berlin,home,Berlin,return_home,public_transport,7000,25,1,2.9,300,synthetic_openai,e5327ee6-9305-4623-bd62-39666d3ad6d3,dein-model-name,mobility_trips_v1,"{""trip_group_id"": null, ""notes"": ""Return by the same tram line after the museum visit."", ""synthetic_generator"": ""openai""}"
